NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-NSR,2020-06-29,AUD,1.91,2020-09-01,1.99,4.19,16.0,2020-09-01,1.87,CLOSED,-2.09,-8.0,100.0,-50.0
-,ASX-APA,2020-06-29,AUD,11.46,2020-08-19,12.0,4.71,23.0,2020-08-19,11.4,CLOSED,-0.52,-3.0,100.0,-11.0
-,ASX-CHC,2020-06-29,AUD,9.88,2020-08-18,10.24,3.64,18.0,2020-06-30,10.24,CLOSED,3.64,917.0,2.0,100.0
-,ASX-GMG,2020-06-29,AUD,15.28,2020-08-01,15.58,1.96,15.0,2020-07-02,15.58,CLOSED,1.96,165.0,9.0,100.0
-,ASX-NSR,2020-06-29,AUD,1.89,2020-09-01,1.97,4.23,17.0,2020-07-17,1.97,CLOSED,4.23,59.0,28.0,100.0
-,ASX-BWP,2020-06-29,AUD,3.99,2020-09-09,4.1800000000000015,4.76,17.0,2020-09-03,4.06,OPEN,1.75,7.0,92.0,37.0
-,ASX-GOZ,2020-06-29,AUD,3.42,2020-09-13,3.62,5.85,19.0,2020-09-03,3.41,OPEN,-0.29,-1.0,87.0,-5.0
-,ASX-FPH,2020-07-06,AUD,32.91,2020-07-24,33.169999999999995,0.79,11.0,2020-07-07,33.169999999999995,CLOSED,0.79,199.0,6.0,100.0
-,ASX-AGL,2020-08-26,AUD,15.54,2020-11-11,16.52,6.31,21.0,2020-09-03,15.25,OPEN,-1.87,-59.0,10.0,-30.0
-,ASX-WOW,2020-09-01,AUD,39.87,2020-10-15,40.83,2.41,14.0,2020-09-03,39.57,OPEN,-0.75,-94.0,5.0,-31.0
+,ASX-AMC,2020-09-02,AUD,14.85,2020-10-22,15.53,4.58,23.0,2020-09-03,15.53,CLOSED,4.58,1154.0,2.0,100.0
-,ASX-MPL,2020-09-02,AUD,2.72,2020-11-08,2.85,4.78,18.0,2020-09-03,2.64,OPEN,-2.94,-741.0,1.0,-62.0
