NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-NSR,2020-06-29,AUD,1.91,2020-09-01,1.99,4.19,16.0,2020-09-01,1.87,CLOSED,-2.09,-8.0,100.0,-50.0
-,ASX-APA,2020-06-29,AUD,11.46,2020-08-19,12.0,4.71,23.0,2020-08-19,11.4,CLOSED,-0.52,-3.0,100.0,-11.0
-,ASX-BWP,2020-06-29,AUD,3.99,2020-09-09,4.1800000000000015,4.76,17.0,2020-09-09,4.01,CLOSED,0.5,2.0,100.0,11.0
-,ASX-CHC,2020-06-29,AUD,9.88,2020-08-18,10.24,3.64,18.0,2020-06-30,10.24,CLOSED,3.64,917.0,2.0,100.0
-,ASX-GMG,2020-06-29,AUD,15.28,2020-08-01,15.58,1.96,15.0,2020-07-02,15.58,CLOSED,1.96,165.0,9.0,100.0
-,ASX-GOZ,2020-06-29,AUD,3.42,2020-09-13,3.62,5.85,19.0,2020-09-11,3.33,CLOSED,-2.63,-9.0,97.0,-45.0
-,ASX-NSR,2020-06-29,AUD,1.89,2020-09-01,1.97,4.23,17.0,2020-07-17,1.97,CLOSED,4.23,59.0,28.0,100.0
-,2328.HK,2020-06-29,HKD,7.37,2020-07-21,7.88,6.92,79.0,2020-07-07,7.88,CLOSED,6.92,218.0,36.0,100.0
-,2328.HK,2020-06-29,HKD,7.34,2020-07-21,7.84,6.81,78.0,2020-07-07,7.84,CLOSED,6.81,215.0,36.0,100.0
-,BXP,2020-06-29,USD,87.24,2020-07-07,91.16,4.49,141.0,2020-07-01,91.16,CLOSED,4.49,566.0,25.0,100.0
-,VTR,2020-06-30,USD,36.7,2020-07-09,38.5,4.9,137.0,2020-07-01,38.5,CLOSED,4.9,1235.0,11.0,100.0
-,ASX-FPH,2020-07-06,AUD,32.91,2020-07-24,33.169999999999995,0.79,11.0,2020-07-07,33.169999999999995,CLOSED,0.79,199.0,6.0,100.0
-,GIS,2020-07-09,USD,62.94,2020-07-30,64.89999999999999,3.11,37.0,2020-07-13,64.89999999999999,CLOSED,3.11,196.0,19.0,100.0
-,SBUX,2020-08-06,USD,75.78,2020-08-07,77.42,2.16,544.0,2020-08-07,75.79,CLOSED,0.01,3.0,100.0,1.0
-,AWK,2020-08-11,USD,149.11,2020-08-18,151.31,1.48,53.0,2020-08-18,146.0,CLOSED,-2.09,-75.0,100.0,-141.0
-,ASX-AGL,2020-08-26,AUD,15.54,2020-11-11,16.52,6.31,21.0,2020-09-30,13.62,OPEN,-12.36,-89.0,45.0,-196.0
-,ASX-WOW,2020-09-01,AUD,39.87,2020-10-15,40.83,2.41,14.0,2020-09-30,36.43,OPEN,-8.63,-75.0,66.0,-358.0
-,ASX-AMC,2020-09-02,AUD,14.85,2020-10-22,15.53,4.58,23.0,2020-09-03,15.53,CLOSED,4.58,1154.0,2.0,100.0
-,ASX-MPL,2020-09-02,AUD,2.72,2020-11-08,2.85,4.78,18.0,2020-09-30,2.51,OPEN,-7.72,-69.0,42.0,-162.0
-,ASX-SHL,2020-09-07,AUD,32.51,2020-10-16,33.36,2.61,17.0,2020-09-21,33.36,CLOSED,2.61,47.0,36.0,100.0
-,ASX-ASX,2020-09-07,AUD,85.9,2020-11-16,88.35000000000002,2.85,10.0,2020-09-30,81.02,OPEN,-5.68,-62.0,33.0,-199.0
-,ASX-IFL,2020-09-07,AUD,3.59,2020-11-07,3.82,6.41,26.0,2020-09-30,3.08,OPEN,-14.21,-156.0,38.0,-222.0
-,ASX-BXB,2020-09-09,AUD,10.83,2020-10-02,11.08,2.31,25.0,2020-09-30,10.49,OPEN,-3.14,-38.0,91.0,-136.0
-,PSA,2020-09-14,USD,220.59,2020-09-29,228.59,3.63,61.0,2020-09-29,220.91,CLOSED,0.15,3.0,100.0,4.0
-,BBY,2020-09-14,USD,107.11,2020-09-20,109.31,2.05,86.0,2020-09-15,109.31,CLOSED,2.05,517.0,17.0,100.0
-,ASX-TGR,2020-09-14,AUD,3.57,2020-10-28,3.75,5.04,29.0,2020-09-30,3.47,OPEN,-2.8,-44.0,36.0,-56.0
-,2588.HK,2020-09-28,HKD,52.75,2020-11-06,55.5,5.21,34.0,2020-09-30,52.7,OPEN,-0.09,-11.0,5.0,-2.0
-,AVB,2020-09-29,USD,151.45,2020-10-01,157.81,4.2,529.0,2020-09-30,149.34,OPEN,-1.39,-350.0,50.0,-33.0
-,BXP,2020-09-29,USD,82.73,2020-10-04,86.65,4.74,239.0,2020-09-30,80.3,OPEN,-2.94,-741.0,20.0,-62.0
-,ESS,2020-09-29,USD,207.52,2020-10-01,215.83,4.0,504.0,2020-09-30,200.79,OPEN,-3.24,-816.0,50.0,-81.0
+,VTR,2020-09-30,USD,42.58,2020-10-05,44.38,4.23,213.0,2020-09-30,41.96,OPEN,-1.46,-368.0,20.0,-34.0
