NEW,P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,53.24,81.0,2020-04-14,17.48,OPEN,12.12,37.0,50.0,23.0
-,ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,118.22,108.0,2020-04-14,17.48,OPEN,12.12,37.0,30.0,10.0
-,0175.HK,2020-01-22,14.1,2020-11-15,18.96,34.47,29.0,2020-04-14,11.3,OPEN,-19.86,-60.0,28.0,-58.0
-,NFLX,2020-01-23,349.6,2020-08-04,491.61,40.62,53.0,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
-,ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,30.44,38.0,2020-04-14,17.48,OPEN,14.17,44.0,41.0,47.0
-,ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,41.14,32.0,2020-04-14,6.24,OPEN,-8.64,-28.0,24.0,-21.0
-,0268.HK,2020-01-29,8.71,2020-09-12,11.65,33.75,37.0,2020-04-14,10.52,OPEN,20.78,69.0,33.0,62.0
-,NFLX,2020-01-30,347.74,2020-06-26,495.11,42.38,72.0,2020-02-17,495.11,CLOSED,42.38,593.0,12.0,100.0
-,0175.HK,2020-01-31,12.54,2020-10-23,18.85,50.32,48.0,2020-04-14,11.3,OPEN,-9.89,-34.0,28.0,-20.0
-,2208.HK,2020-01-31,8.23,2020-12-26,10.94,32.93,25.0,2020-04-14,7.59,OPEN,-7.78,-26.0,22.0,-24.0
-,0175.HK,2020-01-31,12.54,2020-11-24,16.86,34.45,29.0,2020-04-14,11.3,OPEN,-9.89,-34.0,25.0,-29.0
-,AMZN,2020-01-31,2008.72,2020-08-08,2650.71,31.96,42.0,2020-04-13,2168.87,OPEN,7.97,28.0,38.0,25.0
-,0857.HK,2020-02-03,3.38,2020-10-30,5.39,59.47,56.0,2020-04-14,2.9,OPEN,-14.2,-50.0,26.0,-24.0
-,0175.HK,2020-02-03,12.6,2020-10-26,18.94,50.32,48.0,2020-04-14,11.3,OPEN,-10.32,-37.0,27.0,-21.0
-,0175.HK,2020-02-03,12.6,2020-11-27,16.94,34.44,29.0,2020-04-14,11.3,OPEN,-10.32,-37.0,24.0,-30.0
-,AMZN,2020-02-03,2004.2,2020-08-13,2651.76,32.31,42.0,2020-04-13,2168.87,OPEN,8.22,30.0,36.0,25.0
-,LULU,2020-02-03,246.37,2020-10-15,324.81,31.84,31.0,2020-04-13,199.27,OPEN,-19.12,-69.0,27.0,-60.0
-,0288.HK,2020-02-04,7.45,2020-08-14,11.31,51.81,68.0,2020-04-14,7.76,OPEN,4.16,15.0,36.0,8.0
-,2208.HK,2020-02-04,8.31,2021-01-11,11.08,33.33,25.0,2020-04-14,7.59,OPEN,-8.66,-31.0,20.0,-26.0
