NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-A2M,2020-06-10,AUD,17.99,2021-06-10,41.01,127.96,88.0,2020-07-13,19.6,OPEN,8.95,68.0,9.0,7.0
-,ASX-CTD,2020-06-10,AUD,14.5,2021-06-10,19.34,33.38,23.0,2020-07-13,8.59,OPEN,-40.76,-311.0,9.0,-122.0
-,ASX-EVN,2020-06-10,AUD,5.29,2021-06-10,6.8,28.54,20.0,2020-07-13,6.13,OPEN,15.88,121.0,9.0,56.0
-,ASX-MFG,2020-06-10,AUD,59.98,2021-06-10,81.21,35.4,24.0,2020-07-13,61.92,OPEN,3.23,25.0,9.0,9.0
-,ASX-NAN,2020-06-10,AUD,6.92,2021-06-10,9.32,34.68,24.0,2020-07-13,6.14,OPEN,-11.27,-86.0,9.0,-33.0
-,ASX-NAN,2020-06-10,AUD,6.92,2021-06-10,9.36,35.26,24.0,2020-07-13,6.14,OPEN,-11.27,-86.0,9.0,-32.0
-,ASX-NST,2020-06-10,AUD,12.96,2021-06-10,19.32,49.07,34.0,2020-07-13,14.85,OPEN,14.58,111.0,9.0,30.0
-,ASX-NST,2020-06-10,AUD,12.96,2021-06-10,18.76,44.75,31.0,2020-07-13,14.85,OPEN,14.58,111.0,9.0,33.0
-,ASX-REA,2020-06-10,AUD,107.0,2021-06-10,151.27,41.37,29.0,2020-07-13,105.21,OPEN,-1.67,-13.0,9.0,-4.0
-,ASX-REA,2020-06-10,AUD,107.0,2021-06-10,149.45,39.67,27.0,2020-07-13,105.21,OPEN,-1.67,-13.0,9.0,-4.0
-,ASX-RMD,2020-06-10,AUD,23.22,2021-06-10,28.96,24.72,17.0,2020-07-13,27.61,OPEN,18.91,144.0,9.0,76.0
-,ASX-SDF,2020-06-10,AUD,3.39,2021-06-10,3.91,15.34,11.0,2020-07-13,3.35,OPEN,-1.18,-9.0,9.0,-8.0
-,ASX-SDF,2020-06-10,AUD,3.39,2021-06-10,3.97,17.11,12.0,2020-07-13,3.35,OPEN,-1.18,-9.0,9.0,-7.0
