NEW,P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,53.24,81.0,2020-04-15,18.1,OPEN,16.1,48.0,51.0,30.0
-,ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,118.22,108.0,2020-04-15,18.1,OPEN,16.1,48.0,30.0,14.0
-,0175.HK,2020-01-22,14.1,2020-11-15,18.96,34.47,29.0,2020-04-15,11.2,OPEN,-20.57,-62.0,28.0,-60.0
-,NFLX,2020-01-23,349.6,2020-08-04,491.61,40.62,53.0,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
-,ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,30.44,38.0,2020-04-15,18.1,OPEN,18.22,55.0,42.0,60.0
-,ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,41.14,32.0,2020-04-15,6.26,OPEN,-8.35,-27.0,24.0,-20.0
-,0268.HK,2020-01-29,8.71,2020-09-12,11.65,33.75,37.0,2020-04-15,11.0,OPEN,26.29,86.0,34.0,78.0
-,NFLX,2020-01-30,347.74,2020-06-26,495.11,42.38,72.0,2020-02-17,495.11,CLOSED,42.38,593.0,12.0,100.0
-,0175.HK,2020-01-31,12.54,2020-10-23,18.85,50.32,48.0,2020-04-15,11.2,OPEN,-10.69,-36.0,28.0,-21.0
-,2208.HK,2020-01-31,8.23,2020-12-26,10.94,32.93,25.0,2020-04-15,7.33,OPEN,-10.94,-37.0,23.0,-33.0
-,0175.HK,2020-01-31,12.54,2020-11-24,16.86,34.45,29.0,2020-04-15,11.2,OPEN,-10.69,-36.0,25.0,-31.0
-,AMZN,2020-01-31,2008.72,2020-08-08,2650.71,31.96,42.0,2020-04-14,2283.32,OPEN,13.67,47.0,39.0,43.0
-,0857.HK,2020-02-03,3.38,2020-10-30,5.39,59.47,56.0,2020-04-15,2.78,OPEN,-17.75,-62.0,27.0,-30.0
-,0175.HK,2020-02-03,12.6,2020-10-26,18.94,50.32,48.0,2020-04-15,11.2,OPEN,-11.11,-39.0,27.0,-22.0
-,0175.HK,2020-02-03,12.6,2020-11-27,16.94,34.44,29.0,2020-04-15,11.2,OPEN,-11.11,-39.0,24.0,-32.0
-,AMZN,2020-02-03,2004.2,2020-08-13,2651.76,32.31,42.0,2020-04-14,2283.32,OPEN,13.93,49.0,37.0,43.0
-,LULU,2020-02-03,246.37,2020-10-15,324.81,31.84,31.0,2020-04-14,205.18,OPEN,-16.72,-59.0,28.0,-53.0
-,0288.HK,2020-02-04,7.45,2020-08-14,11.31,51.81,68.0,2020-04-15,7.51,OPEN,0.81,3.0,37.0,2.0
-,2208.HK,2020-02-04,8.31,2021-01-11,11.08,33.33,25.0,2020-04-15,7.33,OPEN,-11.79,-42.0,21.0,-35.0
-,0175.HK,2020-02-04,12.76,2020-10-27,19.18,50.31,48.0,2020-04-15,11.2,OPEN,-12.23,-43.0,27.0,-24.0
-,2208.HK,2020-02-04,8.31,2020-12-30,11.05,32.97,25.0,2020-04-15,7.33,OPEN,-11.79,-42.0,22.0,-36.0
-,0175.HK,2020-02-04,12.76,2020-11-28,17.16,34.48,29.0,2020-04-15,11.2,OPEN,-12.23,-43.0,24.0,-35.0
-,MA,2020-02-04,329.12,2020-11-19,428.09,30.07,26.0,2020-04-14,270.72,OPEN,-17.74,-64.0,24.0,-59.0
-,0288.HK,2020-02-05,7.66,2020-08-15,11.63,51.83,68.0,2020-04-15,7.51,OPEN,-1.96,-7.0,36.0,-4.0
-,0175.HK,2020-02-05,13.06,2020-10-28,19.63,50.31,48.0,2020-04-15,11.2,OPEN,-14.24,-51.0,26.0,-28.0
-,0175.HK,2020-02-05,13.06,2020-11-29,17.56,34.46,29.0,2020-04-15,11.2,OPEN,-14.24,-51.0,23.0,-41.0
-,ASX-NAN,2020-02-06,7.15,2021-01-06,9.87,38.04,29.0,2020-04-15,6.26,OPEN,-12.45,-45.0,21.0,-33.0
-,ASX-REA,2020-02-07,116.9,2020-08-19,153.45,31.27,41.0,2020-04-15,83.13,OPEN,-28.89,-107.0,35.0,-92.0
-,0753.HK,2020-02-07,6.97,2021-01-30,9.24,32.57,23.0,2020-04-15,5.07,OPEN,-27.26,-101.0,19.0,-84.0
-,V,2020-02-10,205.99,2020-12-25,274.44,33.23,26.0,2020-04-14,174.62,OPEN,-15.23,-60.0,20.0,-46.0
-,ASX-A2M,2020-02-11,14.89,2020-08-01,22.17,48.89,72.0,2020-04-15,18.1,OPEN,21.56,85.0,37.0,44.0
-,V,2020-02-14,210.29,2020-12-25,282.73,34.45,28.0,2020-04-14,174.62,OPEN,-16.96,-71.0,19.0,-49.0
-,ASX-A2M,2020-02-18,15.75,2020-07-31,24.14,53.27,82.0,2020-04-15,18.1,OPEN,14.92,66.0,35.0,28.0
-,ASX-A2M,2020-02-18,15.75,2020-11-19,34.37,118.22,108.0,2020-04-15,18.1,OPEN,14.92,66.0,21.0,13.0
-,0753.HK,2020-02-20,6.98,2021-02-11,9.25,32.52,23.0,2020-04-15,5.07,OPEN,-27.36,-125.0,15.0,-84.0
-,3898.HK,2020-02-20,31.0,2020-11-29,41.29,33.19,30.0,2020-04-15,23.0,OPEN,-25.81,-118.0,19.0,-78.0
-,0857.HK,2020-02-25,3.19,2020-11-20,5.09,59.56,56.0,2020-04-15,2.78,OPEN,-12.85,-65.0,19.0,-22.0
-,MA,2020-02-28,290.25,2020-11-21,394.74,36.0,34.0,2020-04-14,270.72,OPEN,-6.73,-37.0,17.0,-19.0
-,MA,2020-02-28,290.25,2021-02-06,405.94,39.86,29.0,2020-04-14,270.72,OPEN,-6.73,-37.0,13.0,-17.0
-,1415.HK,2020-03-02,1.77,2020-12-13,2.5,41.24,36.0,2020-04-15,1.96,OPEN,10.73,61.0,15.0,26.0
-,2208.HK,2020-03-02,7.92,2021-02-06,10.56,33.33,25.0,2020-04-15,7.33,OPEN,-7.45,-43.0,13.0,-22.0
-,0857.HK,2020-03-02,3.1,2020-11-26,4.95,59.68,56.0,2020-04-15,2.78,OPEN,-10.32,-59.0,16.0,-17.0
-,2208.HK,2020-03-02,7.92,2021-01-25,10.53,32.95,25.0,2020-04-15,7.33,OPEN,-7.45,-43.0,13.0,-23.0
-,LULU,2020-03-02,228.9,2021-02-24,338.15,47.73,34.0,2020-04-14,205.18,OPEN,-10.36,-61.0,12.0,-22.0
-,XAR,2020-03-02,102.75,2020-12-20,140.68,36.91,32.0,2020-04-14,79.85,OPEN,-22.29,-131.0,15.0,-60.0
-,XAR,2020-03-02,102.75,2020-08-26,137.55,33.87,48.0,2020-04-14,79.85,OPEN,-22.29,-131.0,24.0,-66.0
-,AMZN,2020-03-02,1953.95,2021-01-24,3154.85,61.46,47.0,2020-04-14,2283.32,OPEN,16.86,99.0,13.0,27.0
-,LULU,2020-03-02,228.9,2021-02-16,353.1,54.26,39.0,2020-04-14,205.18,OPEN,-10.36,-61.0,12.0,-19.0
-,MA,2020-03-02,306.74,2020-11-24,417.17,36.0,34.0,2020-04-14,270.72,OPEN,-11.74,-69.0,16.0,-33.0
-,MA,2020-03-02,306.74,2021-02-09,429.01,39.86,29.0,2020-04-14,270.72,OPEN,-11.74,-69.0,12.0,-29.0
-,AMZN,2020-03-02,1953.95,2020-12-31,2876.41,47.21,39.0,2020-04-14,2283.32,OPEN,16.86,99.0,14.0,36.0
-,RIO,2020-03-02,48.77,2021-02-24,64.12,31.47,22.0,2020-04-14,47.99,OPEN,-1.6,-9.0,12.0,-5.0
-,RIO,2020-03-02,48.77,2021-01-20,67.83,39.08,30.0,2020-04-14,47.99,OPEN,-1.6,-9.0,13.0,-4.0
-,ASX-A2M,2020-03-03,16.13,2020-08-22,24.02,48.92,72.0,2020-04-15,18.1,OPEN,12.21,72.0,25.0,25.0
-,ASX-REA,2020-03-03,98.55,2020-12-11,131.51,33.44,30.0,2020-04-15,83.13,OPEN,-15.65,-92.0,15.0,-47.0
-,ASX-REA,2020-03-03,98.55,2020-11-24,135.48,37.47,35.0,2020-04-15,83.13,OPEN,-15.65,-92.0,16.0,-42.0
-,ASX-REA,2020-03-03,98.55,2021-01-04,137.91,39.94,33.0,2020-04-15,83.13,OPEN,-15.65,-92.0,14.0,-39.0
-,ASX-REA,2020-03-03,98.55,2020-11-07,138.15,40.18,41.0,2020-04-15,83.13,OPEN,-15.65,-92.0,17.0,-39.0
-,0173.HK,2020-03-03,3.78,2021-03-02,5.62,48.68,34.0,2020-04-15,3.39,OPEN,-10.32,-60.0,12.0,-21.0
-,2208.HK,2020-03-04,7.74,2021-01-27,10.29,32.95,25.0,2020-04-15,7.33,OPEN,-5.3,-32.0,13.0,-16.0
-,ASX-REA,2020-03-05,100.8,2020-12-13,134.51,33.44,30.0,2020-04-15,83.13,OPEN,-17.53,-108.0,14.0,-52.0
-,ASX-REA,2020-03-05,100.8,2020-11-26,138.57,37.47,35.0,2020-04-15,83.13,OPEN,-17.53,-108.0,15.0,-47.0
-,ASX-REA,2020-03-05,100.8,2021-01-06,141.06,39.94,33.0,2020-04-15,83.13,OPEN,-17.53,-108.0,13.0,-44.0
-,ASX-REA,2020-03-05,100.8,2020-11-09,141.3,40.18,41.0,2020-04-15,83.13,OPEN,-17.53,-108.0,16.0,-44.0
-,2208.HK,2020-03-05,7.96,2021-01-28,10.58,32.91,25.0,2020-04-15,7.33,OPEN,-7.91,-49.0,12.0,-24.0
-,ASX-REA,2020-03-10,97.45,2020-12-18,130.68,34.1,30.0,2020-04-15,83.13,OPEN,-14.69,-103.0,13.0,-43.0
-,ASX-REA,2020-03-10,97.45,2020-12-01,134.64,38.16,36.0,2020-04-15,83.13,OPEN,-14.69,-103.0,14.0,-39.0
-,ASX-REA,2020-03-10,97.45,2021-01-11,137.05,40.64,33.0,2020-04-15,83.13,OPEN,-14.69,-103.0,12.0,-36.0
-,ASX-REA,2020-03-10,97.45,2020-11-14,137.29,40.88,41.0,2020-04-15,83.13,OPEN,-14.69,-103.0,14.0,-36.0
-,LULU,2020-03-10,203.81,2021-03-04,302.86,48.6,34.0,2020-04-14,205.18,OPEN,0.67,5.0,10.0,1.0
-,XAR,2020-03-10,92.11,2020-09-03,124.05,34.68,49.0,2020-04-14,79.85,OPEN,-13.31,-96.0,20.0,-38.0
-,DIS,2020-03-10,111.46,2020-07-03,146.41,31.36,69.0,2020-04-14,106.03,OPEN,-4.87,-35.0,30.0,-16.0
-,DIS,2020-03-10,111.46,2020-11-18,171.27,53.66,53.0,2020-04-14,106.03,OPEN,-4.87,-35.0,14.0,-9.0
-,AMZN,2020-03-10,1891.82,2021-02-01,3072.69,62.42,48.0,2020-04-14,2283.32,OPEN,20.69,149.0,11.0,33.0
-,LULU,2020-03-10,203.81,2021-02-24,316.19,55.14,40.0,2020-04-14,205.18,OPEN,0.67,5.0,10.0,1.0
-,MA,2020-03-10,280.57,2020-12-02,383.82,36.8,35.0,2020-04-14,270.72,OPEN,-3.51,-25.0,13.0,-10.0
-,TSLA,2020-03-10,645.0,2020-12-21,878.88,36.26,32.0,2020-04-14,709.89,OPEN,10.06,72.0,12.0,28.0
-,MA,2020-03-10,280.57,2021-02-17,394.76,40.7,30.0,2020-04-14,270.72,OPEN,-3.51,-25.0,10.0,-9.0
-,AMZN,2020-03-10,1891.82,2021-01-08,2801.41,48.08,40.0,2020-04-14,2283.32,OPEN,20.69,149.0,12.0,43.0
-,RIO,2020-03-10,45.8,2021-01-28,64.08,39.91,31.0,2020-04-14,47.99,OPEN,4.78,34.0,11.0,12.0
-,ASX-REA,2020-03-13,92.88,2020-12-21,124.55,34.1,30.0,2020-04-15,83.13,OPEN,-10.5,-80.0,12.0,-31.0
-,ASX-REA,2020-03-13,92.88,2020-12-04,128.32,38.16,36.0,2020-04-15,83.13,OPEN,-10.5,-80.0,12.0,-28.0
-,ASX-REA,2020-03-13,92.88,2021-01-14,130.63,40.64,33.0,2020-04-15,83.13,OPEN,-10.5,-80.0,11.0,-26.0
-,ASX-REA,2020-03-13,92.88,2020-11-17,130.85,40.88,41.0,2020-04-15,83.13,OPEN,-10.5,-80.0,13.0,-26.0
-,0175.HK,2020-03-13,12.86,2021-01-04,17.34,34.84,30.0,2020-04-15,11.2,OPEN,-12.91,-99.0,11.0,-37.0
-,LULU,2020-03-13,176.75,2021-03-07,262.65,48.6,34.0,2020-04-14,205.18,OPEN,16.08,127.0,9.0,33.0
-,NKE,2020-03-13,75.58,2020-12-10,104.01,37.62,35.0,2020-04-14,87.47,OPEN,15.73,124.0,12.0,42.0
-,NKE,2020-03-13,75.58,2020-11-28,103.76,37.28,36.0,2020-04-14,87.47,OPEN,15.73,124.0,12.0,42.0
-,XAR,2020-03-13,80.63,2020-09-06,108.59,34.68,49.0,2020-04-14,79.85,OPEN,-0.97,-8.0,18.0,-3.0
-,FB,2020-03-13,170.28,2020-08-17,246.17,44.57,72.0,2020-04-14,178.17,OPEN,4.63,36.0,20.0,10.0
-,DIS,2020-03-13,102.52,2020-07-06,134.67,31.36,69.0,2020-04-14,106.03,OPEN,3.42,27.0,28.0,11.0
-,DIS,2020-03-13,102.52,2020-11-21,157.53,53.66,53.0,2020-04-14,106.03,OPEN,3.42,27.0,13.0,6.0
-,AMZN,2020-03-13,1785.0,2021-02-04,2899.2,62.42,48.0,2020-04-14,2283.32,OPEN,27.92,220.0,10.0,45.0
-,LULU,2020-03-13,176.75,2021-02-27,274.21,55.14,40.0,2020-04-14,205.18,OPEN,16.08,127.0,9.0,29.0
-,MA,2020-03-13,270.01,2020-12-05,369.37,36.8,35.0,2020-04-14,270.72,OPEN,0.26,2.0,12.0,1.0
-,MA,2020-03-13,270.01,2021-02-20,379.9,40.7,30.0,2020-04-14,270.72,OPEN,0.26,2.0,9.0,1.0
-,AMZN,2020-03-13,1785.0,2021-01-11,2643.23,48.08,40.0,2020-04-14,2283.32,OPEN,27.92,220.0,11.0,58.0
-,BA,2020-03-13,170.2,2021-02-05,225.94,32.75,25.0,2020-04-14,141.0,OPEN,-17.16,-135.0,10.0,-52.0
-,ASX-REA,2020-03-17,82.39,2020-12-25,110.48,34.09,30.0,2020-04-15,83.13,OPEN,0.9,8.0,10.0,3.0
-,ASX-REA,2020-03-17,82.39,2020-12-08,113.83,38.16,36.0,2020-04-15,83.13,OPEN,0.9,8.0,11.0,2.0
-,ASX-REA,2020-03-17,82.39,2021-01-18,115.87,40.64,33.0,2020-04-15,83.13,OPEN,0.9,8.0,9.0,2.0
-,ASX-REA,2020-03-17,82.39,2020-11-21,116.07,40.88,41.0,2020-04-15,83.13,OPEN,0.9,8.0,12.0,2.0
-,LULU,2020-03-17,144.88,2021-03-11,215.29,48.6,34.0,2020-04-14,205.18,OPEN,41.62,375.0,8.0,86.0
-,NKE,2020-03-17,69.84,2020-12-14,96.11,37.61,35.0,2020-04-14,87.47,OPEN,25.24,227.0,10.0,67.0
-,NKE,2020-03-17,69.84,2020-12-02,95.88,37.29,36.0,2020-04-14,87.47,OPEN,25.24,227.0,11.0,68.0
-,XAR,2020-03-17,73.49,2020-09-10,98.98,34.68,49.0,2020-04-14,79.85,OPEN,8.65,78.0,16.0,25.0
-,IXN,2020-03-17,174.11,2020-12-05,230.03,32.12,31.0,2020-04-14,201.27,OPEN,15.6,140.0,11.0,49.0
-,LULU,2020-03-17,144.88,2021-03-03,224.77,55.14,40.0,2020-04-14,205.18,OPEN,41.62,375.0,8.0,75.0
-,ITA,2020-03-17,137.05,2021-02-16,187.48,36.8,28.0,2020-04-14,153.15,OPEN,11.75,106.0,8.0,32.0
-,FB,2020-03-18,146.96,2020-08-22,212.46,44.57,72.0,2020-04-14,178.17,OPEN,21.24,198.0,17.0,48.0
-,TSLA,2020-03-19,427.64,2020-11-05,621.83,45.41,50.0,2020-04-13,621.83,CLOSED,45.41,458.0,11.0,100.0
-,TSLA,2020-03-19,427.64,2020-12-30,582.7,36.26,32.0,2020-04-13,582.7,CLOSED,36.26,366.0,9.0,100.0
-,LULU,2020-03-19,154.86,2021-03-13,230.12,48.6,34.0,2020-04-14,205.18,OPEN,32.49,315.0,7.0,67.0
-,NKE,2020-03-19,70.34,2020-12-16,96.8,37.62,35.0,2020-04-14,87.47,OPEN,24.35,236.0,10.0,65.0
-,NKE,2020-03-19,70.34,2020-12-04,96.57,37.29,36.0,2020-04-14,87.47,OPEN,24.35,236.0,10.0,65.0
-,XAR,2020-03-19,68.35,2020-09-12,92.05,34.67,49.0,2020-04-14,79.85,OPEN,16.83,163.0,15.0,49.0
-,FB,2020-03-19,153.13,2020-08-23,221.38,44.57,72.0,2020-04-14,178.17,OPEN,16.35,158.0,17.0,37.0
-,LULU,2020-03-19,154.86,2021-03-05,240.25,55.14,40.0,2020-04-14,205.18,OPEN,32.49,315.0,7.0,59.0
-,ASX-REA,2020-03-20,75.69,2020-12-28,101.5,34.1,30.0,2020-04-15,83.13,OPEN,9.83,95.0,9.0,29.0
-,ASX-REA,2020-03-20,75.69,2020-12-11,104.57,38.16,36.0,2020-04-15,83.13,OPEN,9.83,95.0,10.0,26.0
-,ASX-REA,2020-03-20,75.69,2021-01-21,106.45,40.64,33.0,2020-04-15,83.13,OPEN,9.83,95.0,8.0,24.0
-,ASX-REA,2020-03-20,75.69,2020-11-24,106.63,40.88,41.0,2020-04-15,83.13,OPEN,9.83,95.0,10.0,24.0
-,0288.HK,2020-03-20,6.32,2020-09-27,9.62,52.22,69.0,2020-04-15,7.51,OPEN,18.83,183.0,14.0,36.0
-,2208.HK,2020-03-20,6.46,2021-02-24,8.64,33.75,25.0,2020-04-15,7.33,OPEN,13.47,131.0,8.0,40.0
-,0288.HK,2020-03-20,6.32,2020-10-12,9.51,50.47,62.0,2020-04-15,7.51,OPEN,18.83,183.0,13.0,37.0
-,0175.HK,2020-03-20,10.96,2020-11-01,20.95,91.15,102.0,2020-04-15,11.2,OPEN,2.19,21.0,12.0,2.0
-,2208.HK,2020-03-20,6.46,2020-09-30,9.79,51.55,67.0,2020-04-15,7.33,OPEN,13.47,131.0,13.0,26.0
-,0175.HK,2020-03-20,10.96,2020-12-10,16.53,50.82,48.0,2020-04-15,11.2,OPEN,2.19,21.0,10.0,4.0
-,2208.HK,2020-03-20,6.46,2021-02-12,8.62,33.44,26.0,2020-04-15,7.33,OPEN,13.47,131.0,8.0,40.0
-,0175.HK,2020-03-20,10.96,2021-01-11,14.78,34.85,30.0,2020-04-15,11.2,OPEN,2.19,21.0,9.0,6.0
-,AMZN,2020-03-20,1846.09,2020-09-28,2437.39,32.03,42.0,2020-04-14,2283.32,OPEN,23.68,239.0,13.0,74.0
-,TSLA,2020-03-23,434.29,2021-01-03,591.76,36.26,32.0,2020-04-13,591.76,CLOSED,36.26,435.0,7.0,100.0
-,BA,2020-03-24,127.68,2021-02-16,169.5,32.75,25.0,2020-03-25,169.5,CLOSED,32.75,8253.0,0.0,100.0
-,ASX-REA,2020-03-24,67.5,2021-01-24,92.47,36.99,30.0,2020-04-15,83.13,OPEN,23.16,265.0,7.0,63.0
-,ASX-REA,2020-03-24,67.5,2021-01-01,90.52,34.1,30.0,2020-04-15,83.13,OPEN,23.16,265.0,8.0,68.0
-,ASX-REA,2020-03-24,67.5,2020-12-15,93.26,38.16,36.0,2020-04-15,83.13,OPEN,23.16,265.0,8.0,61.0
-,ASX-REA,2020-03-24,67.5,2021-01-25,94.93,40.64,33.0,2020-04-15,83.13,OPEN,23.16,265.0,7.0,57.0
-,ASX-REA,2020-03-24,67.5,2020-11-28,95.09,40.87,41.0,2020-04-15,83.13,OPEN,23.16,265.0,9.0,57.0
-,ASX-REA,2020-03-24,67.5,2020-11-07,92.07,36.4,40.0,2020-04-15,83.13,OPEN,23.16,265.0,10.0,64.0
-,0288.HK,2020-03-24,6.6,2020-10-01,10.05,52.27,69.0,2020-04-15,7.51,OPEN,13.79,158.0,12.0,26.0
