P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
MA,2020-02-28,290.25,2020-11-21,397.06,36.8,35.0,2020-03-03,292.0,OPEN,0.6,38.0,1.0,2.0
MA,2020-02-28,290.25,2021-02-06,408.38,40.7,30.0,2020-03-03,292.0,OPEN,0.6,38.0,1.0,1.0
ASX-VCX,2020-03-02,2.19,2020-12-22,2.6,18.72,16.0,2020-03-03,2.24,OPEN,2.28,575.0,0.0,12.0
ASX-VCX,2020-03-02,2.19,2020-12-22,2.48,13.24,11.0,2020-03-03,2.24,OPEN,2.28,575.0,0.0,17.0
ASX-CWN,2020-03-02,10.24,2020-05-08,11.12,8.59,32.0,2020-03-03,10.02,OPEN,-2.15,-542.0,1.0,-25.0
ASX-CWN,2020-03-02,10.24,2020-06-25,11.1,8.4,18.0,2020-03-03,10.02,OPEN,-2.15,-542.0,1.0,-26.0
ASX-CWN,2020-03-02,10.24,2021-01-01,12.39,21.0,17.0,2020-03-03,10.02,OPEN,-2.15,-542.0,0.0,-10.0
ASX-ORG,2020-03-02,7.01,2020-04-15,7.64,8.99,51.0,2020-03-03,7.04,OPEN,0.43,108.0,2.0,5.0
ASX-CWN,2020-03-02,10.24,2020-05-03,10.85,5.96,24.0,2020-03-03,10.02,OPEN,-2.15,-542.0,2.0,-36.0
ASX-CWN,2020-03-02,10.24,2020-08-22,11.16,8.98,13.0,2020-03-03,10.02,OPEN,-2.15,-542.0,1.0,-24.0
ASX-ORG,2020-03-02,7.01,2020-05-02,7.6,8.42,35.0,2020-03-03,7.04,OPEN,0.43,108.0,2.0,5.0
ASX-CWN,2020-03-02,10.24,2020-05-13,10.77,5.18,18.0,2020-03-03,10.02,OPEN,-2.15,-542.0,1.0,-42.0
ASX-VCX,2020-03-02,2.19,2020-04-24,2.24,2.28,11.0,2020-03-03,2.24,CLOSED,2.28,575.0,2.0,100.0
ASX-ORG,2020-03-02,7.01,2020-05-07,7.45,6.28,24.0,2020-03-03,7.04,OPEN,0.43,108.0,2.0,7.0
ASX-CWN,2020-03-02,10.24,2020-05-13,10.77,5.18,18.0,2020-03-03,10.02,OPEN,-2.15,-542.0,1.0,-42.0
ASX-CWN,2020-03-02,10.24,2020-08-25,10.99,7.32,10.0,2020-03-03,10.02,OPEN,-2.15,-542.0,1.0,-29.0
1415.HK,2020-03-02,1.77,2020-12-13,2.51,41.81,37.0,2020-03-03,1.78,OPEN,0.56,141.0,0.0,1.0
2588.HK,2020-03-02,69.5,2020-04-18,75.19,8.19,44.0,2020-03-03,70.5,OPEN,1.44,363.0,2.0,18.0
2588.HK,2020-03-02,69.5,2020-05-04,76.74,10.42,42.0,2020-03-03,70.5,OPEN,1.44,363.0,2.0,14.0
2588.HK,2020-03-02,69.5,2020-07-17,83.31,19.87,37.0,2020-03-03,70.5,OPEN,1.44,363.0,1.0,7.0
2588.HK,2020-03-02,69.5,2020-08-10,81.65,17.48,27.0,2020-03-03,70.5,OPEN,1.44,363.0,1.0,8.0
2208.HK,2020-03-02,7.92,2021-02-06,10.59,33.71,25.0,2020-03-03,7.72,OPEN,-2.53,-638.0,0.0,-7.0
0435.HK,2020-03-02,4.57,2020-06-14,4.66,1.97,5.0,2020-03-03,4.66,CLOSED,1.97,496.0,1.0,100.0
0435.HK,2020-03-02,4.57,2020-04-11,4.66,1.97,12.0,2020-03-03,4.66,CLOSED,1.97,496.0,2.0,100.0
