NEW,P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,53.24,81.0,2020-03-12,14.82,OPEN,-4.94,-25.0,30.0,-9.0
-,ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,118.22,108.0,2020-03-12,14.82,OPEN,-4.94,-25.0,18.0,-4.0
-,0175.HK,2020-01-22,14.1,2020-11-15,18.96,34.47,29.0,2020-03-12,12.8,OPEN,-9.22,-46.0,17.0,-27.0
-,NFLX,2020-01-23,349.6,2020-08-04,491.61,40.62,53.0,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
-,ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,30.44,38.0,2020-03-12,14.82,OPEN,-3.2,-16.0,24.0,-11.0
-,ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,41.14,32.0,2020-03-12,5.5,OPEN,-19.47,-112.0,14.0,-47.0
-,0268.HK,2020-01-29,8.71,2020-09-12,11.65,33.75,37.0,2020-03-12,8.97,OPEN,2.99,18.0,19.0,9.0
-,NFLX,2020-01-30,347.74,2020-06-26,495.11,42.38,72.0,2020-02-17,495.11,CLOSED,42.38,593.0,12.0,100.0
-,0175.HK,2020-01-31,12.54,2020-10-23,18.85,50.32,48.0,2020-03-12,12.8,OPEN,2.07,13.0,15.0,4.0
-,2208.HK,2020-01-31,8.23,2020-12-26,10.94,32.93,25.0,2020-03-12,6.98,OPEN,-15.19,-93.0,12.0,-46.0
-,0175.HK,2020-01-31,12.54,2020-11-24,16.86,34.45,29.0,2020-03-12,12.8,OPEN,2.07,13.0,14.0,6.0
-,AMZN,2020-01-31,2008.72,2020-08-08,2650.71,31.96,42.0,2020-03-11,1820.86,OPEN,-9.35,-59.0,21.0,-29.0
-,0857.HK,2020-02-03,3.38,2020-10-30,5.39,59.47,56.0,2020-03-12,2.56,OPEN,-24.26,-161.0,14.0,-41.0
-,0175.HK,2020-02-03,12.6,2020-10-26,18.94,50.32,48.0,2020-03-12,12.8,OPEN,1.59,11.0,14.0,3.0
-,0175.HK,2020-02-03,12.6,2020-11-27,16.94,34.44,29.0,2020-03-12,12.8,OPEN,1.59,11.0,13.0,5.0
-,AMZN,2020-02-03,2004.2,2020-08-13,2651.76,32.31,42.0,2020-03-11,1820.86,OPEN,-9.15,-62.0,19.0,-28.0
-,LULU,2020-02-03,246.37,2020-10-15,324.81,31.84,31.0,2020-03-11,193.74,OPEN,-21.36,-145.0,15.0,-67.0
-,0288.HK,2020-02-04,7.45,2020-08-14,11.31,51.81,68.0,2020-03-12,7.25,OPEN,-2.68,-18.0,19.0,-5.0
-,2208.HK,2020-02-04,8.31,2021-01-11,11.08,33.33,25.0,2020-03-12,6.98,OPEN,-16.0,-109.0,11.0,-48.0
-,0175.HK,2020-02-04,12.76,2020-10-27,19.18,50.31,48.0,2020-03-12,12.8,OPEN,0.31,2.0,14.0,1.0
-,2208.HK,2020-02-04,8.31,2020-12-30,11.05,32.97,25.0,2020-03-12,6.98,OPEN,-16.0,-109.0,11.0,-49.0
-,0175.HK,2020-02-04,12.76,2020-11-28,17.16,34.48,29.0,2020-03-12,12.8,OPEN,0.31,2.0,12.0,1.0
-,MA,2020-02-04,329.12,2020-11-19,428.09,30.07,26.0,2020-03-11,269.76,OPEN,-18.04,-126.0,12.0,-60.0
-,0288.HK,2020-02-05,7.66,2020-08-15,11.63,51.83,68.0,2020-03-12,7.25,OPEN,-5.35,-37.0,19.0,-10.0
-,0175.HK,2020-02-05,13.06,2020-10-28,19.63,50.31,48.0,2020-03-12,12.8,OPEN,-1.99,-14.0,14.0,-4.0
-,0175.HK,2020-02-05,13.06,2020-11-29,17.56,34.46,29.0,2020-03-12,12.8,OPEN,-1.99,-14.0,12.0,-6.0
-,ASX-NAN,2020-02-06,7.15,2021-01-06,9.87,38.04,29.0,2020-03-12,5.5,OPEN,-23.08,-166.0,10.0,-61.0
-,ASX-REA,2020-02-07,116.9,2020-08-19,153.45,31.27,41.0,2020-03-12,87.0,OPEN,-25.58,-190.0,18.0,-82.0
-,0753.HK,2020-02-07,6.97,2021-01-30,9.24,32.57,23.0,2020-03-12,6.37,OPEN,-8.61,-64.0,9.0,-26.0
-,V,2020-02-10,205.99,2020-12-25,274.44,33.23,26.0,2020-03-11,172.95,OPEN,-16.04,-135.0,9.0,-48.0
-,ASX-A2M,2020-02-11,14.89,2020-08-01,22.17,48.89,72.0,2020-03-12,14.82,OPEN,-0.47,-4.0,17.0,-1.0
-,V,2020-02-14,210.29,2020-12-25,282.73,34.45,28.0,2020-03-11,172.95,OPEN,-17.76,-172.0,8.0,-52.0
-,ASX-A2M,2020-02-18,15.75,2020-07-31,24.14,53.27,82.0,2020-03-12,14.82,OPEN,-5.9,-65.0,14.0,-11.0
-,ASX-A2M,2020-02-18,15.75,2020-11-19,34.37,118.22,108.0,2020-03-12,14.82,OPEN,-5.9,-65.0,8.0,-5.0
-,0753.HK,2020-02-20,6.98,2021-02-11,9.25,32.52,23.0,2020-03-12,6.37,OPEN,-8.74,-105.0,6.0,-27.0
-,3898.HK,2020-02-20,31.0,2020-11-29,41.29,33.19,30.0,2020-03-12,24.15,OPEN,-22.1,-265.0,7.0,-67.0
-,0857.HK,2020-02-25,3.19,2020-11-20,5.09,59.56,56.0,2020-03-12,2.56,OPEN,-19.75,-311.0,6.0,-33.0
-,MA,2020-02-28,290.25,2020-11-21,394.74,36.0,34.0,2020-03-11,269.76,OPEN,-7.06,-148.0,4.0,-20.0
-,MA,2020-02-28,290.25,2021-02-06,405.94,39.86,29.0,2020-03-11,269.76,OPEN,-7.06,-148.0,3.0,-18.0
-,1415.HK,2020-03-02,1.77,2020-12-13,2.5,41.24,36.0,2020-03-12,1.48,OPEN,-16.38,-413.0,3.0,-40.0
-,2208.HK,2020-03-02,7.92,2021-02-06,10.56,33.33,25.0,2020-03-12,6.98,OPEN,-11.87,-299.0,3.0,-36.0
-,0857.HK,2020-03-02,3.1,2020-11-26,4.95,59.68,56.0,2020-03-12,2.56,OPEN,-17.42,-439.0,4.0,-29.0
-,2208.HK,2020-03-02,7.92,2021-01-25,10.53,32.95,25.0,2020-03-12,6.98,OPEN,-11.87,-299.0,3.0,-36.0
-,LULU,2020-03-02,228.9,2021-02-24,338.15,47.73,34.0,2020-03-11,193.74,OPEN,-15.36,-430.0,3.0,-32.0
-,XAR,2020-03-02,102.75,2020-12-20,140.68,36.91,32.0,2020-03-11,85.49,OPEN,-16.8,-470.0,3.0,-46.0
-,XAR,2020-03-02,102.75,2020-08-26,137.55,33.87,48.0,2020-03-11,85.49,OPEN,-16.8,-470.0,5.0,-50.0
-,AMZN,2020-03-02,1953.95,2021-01-24,3154.85,61.46,47.0,2020-03-11,1820.86,OPEN,-6.81,-191.0,3.0,-11.0
-,LULU,2020-03-02,228.9,2021-02-16,353.1,54.26,39.0,2020-03-11,193.74,OPEN,-15.36,-430.0,3.0,-28.0
-,MA,2020-03-02,306.74,2020-11-24,417.17,36.0,34.0,2020-03-11,269.76,OPEN,-12.06,-338.0,3.0,-33.0
-,MA,2020-03-02,306.74,2021-02-09,429.01,39.86,29.0,2020-03-11,269.76,OPEN,-12.06,-338.0,3.0,-30.0
-,AMZN,2020-03-02,1953.95,2020-12-31,2876.41,47.21,39.0,2020-03-11,1820.86,OPEN,-6.81,-191.0,3.0,-14.0
-,RIO,2020-03-02,48.77,2021-02-24,64.12,31.47,22.0,2020-03-11,42.71,OPEN,-12.43,-348.0,3.0,-39.0
-,RIO,2020-03-02,48.77,2021-01-20,67.83,39.08,30.0,2020-03-11,42.71,OPEN,-12.43,-348.0,3.0,-32.0
-,ASX-A2M,2020-03-03,16.13,2020-08-22,24.02,48.92,72.0,2020-03-12,14.82,OPEN,-8.12,-227.0,5.0,-17.0
-,ASX-REA,2020-03-03,98.55,2020-12-11,131.51,33.44,30.0,2020-03-12,87.0,OPEN,-11.72,-328.0,3.0,-35.0
-,ASX-REA,2020-03-03,98.55,2020-11-24,135.48,37.47,35.0,2020-03-12,87.0,OPEN,-11.72,-328.0,3.0,-31.0
-,ASX-REA,2020-03-03,98.55,2021-01-04,137.91,39.94,33.0,2020-03-12,87.0,OPEN,-11.72,-328.0,3.0,-29.0
-,ASX-REA,2020-03-03,98.55,2020-11-07,138.15,40.18,41.0,2020-03-12,87.0,OPEN,-11.72,-328.0,4.0,-29.0
-,0173.HK,2020-03-03,3.78,2021-03-02,5.62,48.68,34.0,2020-03-12,3.47,OPEN,-8.2,-230.0,2.0,-17.0
-,2208.HK,2020-03-04,7.74,2021-01-27,10.29,32.95,25.0,2020-03-12,6.98,OPEN,-9.82,-309.0,2.0,-30.0
-,ASX-REA,2020-03-05,100.8,2020-12-13,134.51,33.44,30.0,2020-03-12,87.0,OPEN,-13.69,-493.0,2.0,-41.0
-,ASX-REA,2020-03-05,100.8,2020-11-26,138.57,37.47,35.0,2020-03-12,87.0,OPEN,-13.69,-493.0,3.0,-37.0
-,ASX-REA,2020-03-05,100.8,2021-01-06,141.06,39.94,33.0,2020-03-12,87.0,OPEN,-13.69,-493.0,2.0,-34.0
-,ASX-REA,2020-03-05,100.8,2020-11-09,141.3,40.18,41.0,2020-03-12,87.0,OPEN,-13.69,-493.0,3.0,-34.0
-,2208.HK,2020-03-05,7.96,2021-01-28,10.58,32.91,25.0,2020-03-12,6.98,OPEN,-12.31,-443.0,2.0,-37.0
-,ASX-REA,2020-03-10,97.45,2020-12-18,130.68,34.1,30.0,2020-03-12,87.0,OPEN,-10.72,-1351.0,1.0,-31.0
-,ASX-REA,2020-03-10,97.45,2020-12-01,134.64,38.16,36.0,2020-03-12,87.0,OPEN,-10.72,-1351.0,1.0,-28.0
-,ASX-REA,2020-03-10,97.45,2021-01-11,137.05,40.64,33.0,2020-03-12,87.0,OPEN,-10.72,-1351.0,1.0,-26.0
-,ASX-REA,2020-03-10,97.45,2020-11-14,137.29,40.88,41.0,2020-03-12,87.0,OPEN,-10.72,-1351.0,1.0,-26.0
-,LULU,2020-03-10,203.81,2021-03-04,302.86,48.6,34.0,2020-03-11,193.74,OPEN,-4.94,-1245.0,0.0,-10.0
-,XAR,2020-03-10,92.11,2020-09-03,124.05,34.68,49.0,2020-03-11,85.49,OPEN,-7.19,-1812.0,1.0,-21.0
-,DIS,2020-03-10,111.46,2020-07-03,146.41,31.36,69.0,2020-03-11,105.51,OPEN,-5.34,-1346.0,1.0,-17.0
-,DIS,2020-03-10,111.46,2020-11-18,171.27,53.66,53.0,2020-03-11,105.51,OPEN,-5.34,-1346.0,0.0,-10.0
-,AMZN,2020-03-10,1891.82,2021-02-01,3072.69,62.42,48.0,2020-03-11,1820.86,OPEN,-3.75,-945.0,0.0,-6.0
-,LULU,2020-03-10,203.81,2021-02-24,316.19,55.14,40.0,2020-03-11,193.74,OPEN,-4.94,-1245.0,0.0,-9.0
-,MA,2020-03-10,280.57,2020-12-02,383.82,36.8,35.0,2020-03-11,269.76,OPEN,-3.85,-970.0,0.0,-10.0
-,TSLA,2020-03-10,645.0,2020-12-21,878.88,36.26,32.0,2020-03-11,634.23,OPEN,-1.67,-421.0,0.0,-5.0
-,MA,2020-03-10,280.57,2021-02-17,394.76,40.7,30.0,2020-03-11,269.76,OPEN,-3.85,-970.0,0.0,-9.0
-,AMZN,2020-03-10,1891.82,2021-01-08,2801.41,48.08,40.0,2020-03-11,1820.86,OPEN,-3.75,-945.0,0.0,-8.0
-,RIO,2020-03-10,45.8,2021-01-28,64.08,39.91,31.0,2020-03-11,42.71,OPEN,-6.75,-1701.0,0.0,-17.0
